id,cluster,Lat,Lon
846,Reform cases,-22.75465428,-47.15194702
848,Resists cases,-13.832413,-42.276764
855,Reform cases,31.220472,29.942851
858,Resists cases,-25.957119,32.488203
859,Reform cases,-21.541234,35.062866
860,Resists cases,0.451808062,-79.40917969
861,Transform cases,0.970475633,-79.00100832
863,Resists cases,-0.984601194,-75.95214844
865,Resists cases,-3.0897,-79.1043
866,Transform cases,-2.874979166,-79.07215118
867,Resists cases,-2.875322056,-79.07146454
868,Resists cases,-2.286265909,-78.09539795
870,Transform cases,-0.721302053,-77.14508057
871,Transform cases,0.947184332,-79.64904785
872,Resists cases,-0.439792129,-76.99584961
873,Transform cases,1.304513744,-78.75549316
874,Reform cases,1.271563088,-78.8269043
875,Resists cases,-0.7077841,-79.9749852
877,Reform cases,-0.786871016,-79.60281372
884,Transform cases,-1.484018309,-78.00350189
885,Reform cases,0.052356713,-78.21578979
886,Reform cases,0.045661921,-78.20240021
889,Reform cases,1.312064875,-78.91777039
890,Resists cases,-2.178887472,-77.45635986
892,Reform cases,42.317559,-71.090498
896,Transform cases,40.746152,-112.691281
902,Transform cases,22.9255,113.3789
906,Resists cases,8.764,78.135
907,Transform cases,15.39013572,73.99291992
908,Transform cases,15.17188527,74.18827057
909,Reform cases,18.88257439,82.53556252
910,Reform cases,10.10817634,76.47432804
911,Reform cases,24.573,87.637
912,Resists cases,21.93346334,84.90028381
913,Reform cases,34.64761357,74.76385117
915,Transform cases,10.094,76.314
916,Reform cases,30.81837361,78.6181426
917,Reform cases,28.553,77.28
918,Reform cases,21.97711571,88.08185577
919,Reform cases,21.87249116,87.52996445
920,Reform cases,26.48378745,94.14321899
921,Resists cases,15.44801331,79.9825716
923,Transform cases,25.087019,82.901152
924,Resists cases,18.07822377,82.66415834
925,Reform cases,20.96873313,86.01960182
927,Transform cases,21.94685429,87.97130585
928,Reform cases,23.44186836,87.13368416
929,Reform cases,28.59115398,77.27508545
930,Reform cases,17.71304212,83.29198837
932,Reform cases,24.23438379,93.02652955
933,Reform cases,25.29487557,91.17878795
934,Reform cases,22.05636884,78.93882751
935,Reform cases,23.00213028,87.1105957
936,Reform cases,21.48374091,72.23304749
937,Reform cases,10.25892825,76.32511139
938,Transform cases,21.07937459,71.75788879
939,Resists cases,20.86522809,85.27639389
940,Reform cases,22.08054972,84.0234375
941,Reform cases,21.44010187,81.8465513
942,Reform cases,27.53165896,94.27773714
943,Resists cases,24.85361382,94.14622307
944,Reform cases,23.62156359,86.66092873
945,Reform cases,21.71525104,83.50064278
946,Reform cases,23.59421891,87.22436428
947,Reform cases,9.3264,76.684
948,Reform cases,15.75831874,73.85059386
950,Reform cases,23.35964862,71.97134435
951,Reform cases,23.87564966,85.23457021
953,Transform cases,18.70413901,73.87481689
954,Reform cases,33.16205586,75.32629967
955,Reform cases,15.46228371,74.51580048
956,Reform cases,22.64498698,86.36277437
957,Reform cases,30.41426076,77.80423164
958,Reform cases,29.77367174,78.43036652
960,Reform cases,22.57617254,88.36325169
961,Reform cases,23.95919534,93.18019867
964,Reform cases,25.29623359,81.93981171
965,Transform cases,21.90753382,83.12813759
966,Transform cases,22.90400845,69.90737915
967,Reform cases,26.7708,83.9063
968,Reform cases,23.60048662,88.08370113
969,Reform cases,25.28042389,81.95080072
970,Reform cases,13.98129628,80.1573658
971,Reform cases,13.16028916,74.80159521
972,Reform cases,13.04388131,74.90751028
973,Reform cases,12.3455,80.0055
974,Reform cases,28.45133595,77.49481201
975,Reform cases,28.53114695,77.54618168
976,Resists cases,23.86323359,85.09237289
977,Reform cases,23.72094286,92.79976755
978,Reform cases,24.3390225,92.76818991
979,Reform cases,24.68410901,93.42636108
